TICKETID;ASSETNUM;DESCRIPTION;CLASSSTRUCTUREID;REPORTDATE;REPORTEDBY;SITEID;STATUS;STATUSDATE
1866118;11177;-;1567;5/13/2024 9:31 PM;0015999;;CLOSED;9/8/2024 3:22 PM
1906741;13024;Luces de pasillo no van. Sólo lucen las de penumbra;1728;7/24/2024 7:41 AM;0001684;;CLOSED;12/1/2024 5:31 PM
1906802;3653;cada dos por tres salta y compresor y se para el aire;1594;7/24/2024 11:09 AM;0037284;;CLOSED;10/27/2024 4:40 PM
1896592;2711;-;1666;7/5/2024 11:51 AM;0059123;;CLOSED;10/13/2024 4:14 PM
1860264;10740;Compuerta de baterias no abre y se queda el piloto encendido de abierto;1791;5/2/2024 1:41 PM;0062335;;CLOSED;8/18/2024 4:42 PM
1860281;13057;Luces cruce mal;1662;5/2/2024 3:08 PM;0056166;;CLOSED;8/11/2024 4:36 PM
1873332;4045;Pierde aire por zona derecha del motor;;5/26/2024 3:42 PM;115;154;CLOSED;9/1/2024 6:47 PM
1886790;10437;Sensor rueda izquierda tercer eje falla y no da presión;1816;6/17/2024 5:21 PM;0007455;;CLOSED;9/29/2024 6:40 PM
1888902;10426;REPARAR LUNA PARABRISAS (20/06/2024);;6/21/2024 11:34 AM;1383;;CLOSED;6/21/2024 12:07 PM
1888925;13063;No funciona Microfono mal;1680;6/21/2024 12:43 PM;0031277;;CLOSED;10/6/2024 3:33 PM
1915667;11283;Desague WC mal;1740;8/9/2024 8:00 PM;0033407;;CLOSED;12/29/2024 4:18 PM
1917029;10437;falla sensor puerta trasera motor;1777;8/12/2024 9:37 PM;0056038;;CLOSED;12/1/2024 7:51 PM
1917105;13012;Soporte centralita del matricial flojo;1937;8/13/2024 4:29 AM;0056437;;CLOSED;12/1/2024 7:51 PM
1917106;13012;Entra por esquina superior izquierda,luna delantera;1787;8/13/2024 4:29 AM;0056437;;CLOSED;11/17/2024 3:44 PM
1885741;11168;OCIO_INDIVIDUAL \ PANTALLAS????;4009;6/15/2024 8:28 AM;0015182;;CLOSED;2/2/2025 3:47 PM
1914407;10394;LAVADO CARROCERIA MENSUAL;;8/7/2024 12:36 PM;351;;CLOSED;12/1/2024 7:21 PM
1914409;11164;LAVADO CARROCERIA MENSUAL;;8/7/2024 12:40 PM;351;;CLOSED;12/1/2024 7:20 PM
1903140;3855;Se queda sin potencia,haciendo difícil la conducción y pudiendo provocar un accidente;1516;7/17/2024 12:14 PM;0031669;;RESOLVED;7/17/2024 1:02 PM
1914523;10430;Está descentrado, queda fuera del lavabo, lo pones en frente y vuelve a su posición inicial.;1738;8/7/2024 6:06 PM;0015845;;CLOSED;11/10/2024 3:43 PM
1914986;10415;"ruedas de dirección desgaste pronunciado banda exterior.
eje ferwich tambien";1818;8/8/2024 12:52 PM;0058070;;CLOSED;11/17/2024 3:38 PM
1918761;10638;Vehiculo 10638 supera 80 dias sin descargar. Ultima registrada el 11/04/2024;4125;8/16/2024 7:00 AM;MAXADMIN;;RESOLVED;8/16/2024 3:38 PM
1918773;4950;Vehiculo 4950 supera 80 dias sin descargar. Ultima registrada el 07/05/2024;4125;8/16/2024 7:00 AM;MAXADMIN;;CLOSED;11/24/2024 5:36 PM
1866445;4046;Vehiculo 4046 supera 80 dias sin descargar. Ultima registrada el 22/02/2024;4125;5/14/2024 7:00 AM;MAXADMIN;;CLOSED;9/1/2024 6:03 PM
1894748;13562;Grifo roto;1738;7/2/2024 10:04 AM;0051937;;CLOSED;10/20/2024 2:33 PM
1856101;13381;soporte de itos suelto;;4/24/2024 11:12 AM;1857;251;CLOSED;7/28/2024 5:20 PM
1907834;3063;Vehiculo 3063 supera 80 dias sin descargar. Ultima registrada el 25/04/2024;4125;7/26/2024 7:00 AM;MAXADMIN;;NOPRO;7/26/2024 7:41 AM
1907942;4343;Cortina se está despegando del lado derecho;4134;7/26/2024 3:06 PM;0019394;;CLOSED;12/1/2024 5:00 PM
1914035;13015;Cinturones mal;1710;8/6/2024 9:52 PM;0055656;;CLOSED;11/24/2024 5:44 PM
1867281;13422;Regular luces  de cruce,están bajás;1662;5/16/2024;0014774;;CLOSED;9/1/2024 6:14 PM
1867478;10407;Vehiculo 10407 supera 80 dias sin descargar. Ultima registrada el 19/02/2024;4125;5/16/2024 7:00 AM;MAXADMIN;;CLOSED;8/18/2024 4:23 PM
1867485;11168;Vehiculo 11168 supera 80 dias sin descargar. Ultima registrada el 25/02/2024;4125;5/16/2024 7:00 AM;MAXADMIN;;CLOSED;8/18/2024 5:04 PM
1867503;3749;El coche se queda sin potencia en las subidas , en el salpicadero pone tratamiento posterior gases;1516;5/16/2024 8:39 AM;0055656;;CLOSED;8/18/2024 5:04 PM
1876660;11162;QUITAR SILLAS PMR;;5/31/2024 4:44 PM;351;;CLOSED;9/1/2024 7:10 PM
1878901;10744;LAVADO CARROCERIA MENSUAL;;6/4/2024 5:01 PM;351;;CLOSED;9/8/2024 3:39 PM
1898796;10822;Desgaste anormal de rueda;1818;7/9/2024 5:12 PM;0005086;;CLOSED;12/1/2024 3:46 PM
1917588;10562;Puerta WC mal;1742;8/13/2024 10:00 PM;0005980;;CLOSED;12/1/2024 7:52 PM
1917867;13422;No cierra, no se puede trabajar con el.;1775;8/14/2024 7:02 AM;0039032;;CLOSED;12/22/2024 3:19 PM
1917975;13056;cambiar espejo;;8/14/2024 1:43 PM;494;;CLOSED;12/1/2024 7:56 PM
1889540;3833;Nevera no funciona;1936;6/22/2024 8:38 PM;0034211;;CLOSED;10/13/2024 3:49 PM
1889847;11281;Indica fallo 20 y 87;1692;6/23/2024 2:11 PM;0030291;;CLOSED;11/3/2024 3:03 PM
1885824;3272;"Fuga de aire 
Asiento conductor";1742;6/15/2024 4:43 PM;0002134;;CLOSED;9/22/2024 4:48 PM
1885833;13061;-;1636;6/15/2024 6:24 PM;0050989;;NOPRO;6/15/2024 7:35 PM
1885885;10428;AA enfria poco???;1590;6/16/2024;0001772;;CLOSED;9/22/2024 4:48 PM
1886240;3219;SE CALIENTA EN SUBIDA HASTA LOS 100°;1506;6/16/2024 8:42 PM;0050066;;CLOSED;9/29/2024 6:41 PM
1886245;10400;Luces cruce mal;1662;6/16/2024 9:10 PM;0009250;;CLOSED;9/29/2024 6:38 PM
1916941;10439;Enchufes asiento 45/46 roto.;4041;8/12/2024 4:50 PM;0005870;;CLOSED;12/1/2024 7:47 PM
1917451;10805;Nevera no funciona;1936;8/13/2024 3:09 PM;0008914;;CLOSED;12/22/2024 2:46 PM
1918790;4992;Vehiculo 4992 supera 80 dias sin descargar. Ultima registrada el 20/05/2024;4125;8/16/2024 7:00 AM;MAXADMIN;;CLOSED;12/15/2024 4:10 PM
1918553;13569;no funciona el altavoz del lado izquierdo del conductor;1678;8/16/2024 1:21 AM;0009126;;CLOSED;9/13/2024 12:37 PM
1918576;10429;puerta w.c mal;1742;8/16/2024 3:45 AM;0015041;;CLOSED;11/24/2024 6:04 PM
1918822;10395;rellenar 3 litros de aceite.;1524;8/16/2024 7:15 AM;0015751;;CLOSED;12/1/2024 8:03 PM
1918830;3832;revisar rodamientos;1555;8/16/2024 7:54 AM;0001557;;CLOSED;9/19/2024 7:35 AM
1918835;10659;Tiene tres picadas en zona baja del conductor, en zona baja en el medio y en medio centro.;1799;8/16/2024 8:18 AM;0015845;;CLOSED;7/13/2025 2:03 PM
1900078;10639;CASCO O.T. 7112531;;7/11/2024 6:26 PM;1885;;CLOSED;10/20/2024 2:11 PM
1917686;2711;-;1579;8/14/2024 6:53 AM;0059123;;CLOSED;11/24/2024 5:59 PM
1917824;10638;Vehiculo 10638 supera 80 dias sin descargar. Ultima registrada el 11/04/2024;4125;8/14/2024 7:00 AM;MAXADMIN;;RESOLVED;8/14/2024 7:15 AM
1917836;4950;Vehiculo 4950 supera 80 dias sin descargar. Ultima registrada el 07/05/2024;4125;8/14/2024 7:00 AM;MAXADMIN;;CLOSED;11/24/2024 5:36 PM
1908471;10384;LECTOR QR no enciende;4232;7/27/2024 5:37 PM;0001213;;CLOSED;8/27/2024 11:44 AM
1908517;13055;Desgaste anormal de rueda;1818;7/27/2024 9:08 PM;0008947;;CLOSED;11/19/2024 8:34 AM
1914847;10385;Vehiculo 10385 supera 80 dias sin descargar. Ultima registrada el 06/05/2024;4125;8/8/2024 7:00 AM;MAXADMIN;;CLOSED;12/15/2024 2:58 PM
1891082;10648;CLIMATIZ \ AA \ ENFRIA POCO;1592;6/25/2024 5:32 PM;0054957;;CLOSED;10/6/2024 3:36 PM
1897998;10561;¿Puerta WC mal?;1742;7/8/2024 11:38 AM;0013736;;CLOSED;11/3/2024 3:45 PM
1916068;13022;Baja pero no sube, hace ruido raro;2022;8/10/2024 7:01 PM;0039032;;CLOSED;1/19/2025 2:52 PM
1916562;11168;la pantalla del asiento número 28 (encima de la puerta trasera) ha aparecido descolgada;1674;8/11/2024 11:25 PM;0039097;;CLOSED;2/2/2025 7:46 PM
1917922;13306;NO FUNCIONA NINGÚN MICRÓFONO LOS VIAJEROS NO TIENEN RADIO NI NADA;1680;8/14/2024 9:53 AM;0015999;;CLOSED;8/14/2024 12:50 PM
1917923;13306;NO FUNCIONA;1688;8/14/2024 9:53 AM;0015999;;CLOSED;8/14/2024 12:50 PM
1917924;13306;PANTALLA LADO DERECHO DEL CONDUCTOR PARPADEA;1758;8/14/2024 9:53 AM;0015999;;CLOSED;8/14/2024 12:50 PM
1917925;13306;RUEDAS TRASERAS GASTADAS;1818;8/14/2024 9:53 AM;0015999;;CLOSED;8/14/2024 12:50 PM
1917973;11172;limpieza de radiador y motor;;8/14/2024 1:40 PM;494;;CLOSED;12/1/2024 7:56 PM
1903232;4357;Reparaciones chapa;;7/17/2024 4:52 PM;1354;;CLOSED;10/20/2024 3:08 PM
1903294;10798;rueda trasera derecha interior en mal estado y trasera exterior izquierda con un bocado;1818;7/17/2024 7:46 PM;0015734;;CLOSED;11/3/2024 4:02 PM
1856032;4696;;;4/24/2024 7:26 AM;1522;;CLOSED;7/28/2024 5:20 PM
1871043;10814;rejilla interior lado izquierdo descolgada.;1594;5/22/2024 10:09 AM;0019012;;CLOSED;9/1/2024 6:32 PM
1876518;3749;AVERIA;;5/31/2024 9:04 AM;1885;;CLOSED;9/1/2024 7:08 PM
1896563;10380;Rueda IZA escalonada;1555;7/5/2024 9:39 AM;0017438;;CLOSED;10/20/2024 3:14 PM
1886204;10426;Nevera no funciona???;1936;6/16/2024 4:34 PM;0058251;;CLOSED;9/22/2024 4:50 PM
1886268;10828;tratam. posterior gases escape averiado;4337;6/16/2024 11:18 PM;0019923;;CLOSED;9/29/2024 6:38 PM
1886294;4342;fallo señal gnrs de vez en cuando.en espacios abiertos.;1692;6/17/2024 1:31 AM;0004875;;CLOSED;9/29/2024 6:39 PM
1916996;2985;AA enfria poco;1592;8/12/2024 7:07 PM;0031199;;CLOSED;8/30/2024 11:08 AM
1917045;10430;Amortiguacion asiento conductor mal????;1744;8/12/2024 10:18 PM;0051894;;CLOSED;12/1/2024 7:51 PM
1917085;11994;Vibración a velocidades altas;1567;8/13/2024;0038948;;CLOSED;12/1/2024 5:55 PM
1917091;10425;"Pérdida total de anticongelante...

Testigo regeneración de gases de escape encendido (amarillo)...";1506;8/13/2024 1:09 AM;0058251;;RESOLVED;8/14/2024 6:20 AM
1917100;11992;Cinturon seguridad conductor mal;4133;8/13/2024 3:35 AM;0019588;;CLOSED;12/1/2024 7:52 PM
1918899;11176;RECACOR EJE 2º;;8/16/2024 12:32 PM;767;;CLOSED;11/24/2024 6:04 PM
1918382;10430;FUGA AIRE POR ASIENTO CONDUCTOR????;4254;8/15/2024 7:01 AM;0005499;;CLOSED;11/24/2024 6:01 PM
1918446;11173;vibra mucho la dirección;1567;8/15/2024 4:21 PM;0058973;;CLOSED;8/19/2024 12:10 PM
1918466;4355;Puerta trasera mal;1777;8/15/2024 6:55 PM;0057839;;CLOSED;1/5/2025 7:00 PM
1918467;4355;El micrófono del asiento del conductor, no funciona.;1680;8/15/2024 6:55 PM;0057839;;CLOSED;1/5/2025 7:03 PM
1908916;10866;Micro conductor no funciona. Micro del guia falla;1680;7/28/2024 6:14 PM;0062934;;CLOSED;11/3/2024 5:53 PM
1914892;10415;-;1516;8/8/2024 8:34 AM;0058070;;CLOSED;11/17/2024 3:34 PM
1914939;2985;pulsador de parada de minusválidos exterior está averiada se acciona sola;1628;8/8/2024 11:21 AM;0031199;;CLOSED;11/24/2024 5:47 PM
1915427;10638;Vehiculo 10638 supera 80 dias sin descargar. Ultima registrada el 11/04/2024;4125;8/9/2024 7:00 AM;MAXADMIN;;RESOLVED;8/9/2024 7:24 AM
1915468;10647;-;1636;8/9/2024 8:08 AM;0012694;;NOPRO;8/9/2024 5:13 PM
1904257;11178;REPARAR ASIENTO VIAJERO;;7/19/2024 11:10 AM;351;;CLOSED;11/24/2024 4:20 PM
1898043;3272;Gestionar con Diego Mate y onboard@alsa.es;4317;7/8/2024 2:04 PM;0009003;;CLOSED;10/27/2024 2:52 PM
1898202;10815;Cinturon asiento 29 no abrocha;1710;7/8/2024 8:14 PM;0030619;;CLOSED;10/20/2024 3:16 PM
1898216;10818;Primer maletero derecho no abre;1791;7/8/2024 9:06 PM;0002105;;CLOSED;12/1/2024 3:42 PM
1898265;10400;Desague WC mal;1740;7/8/2024 11:25 PM;0012855;;CLOSED;10/20/2024 2:33 PM
1918337;10638;Vehiculo 10638 supera 80 dias sin descargar. Ultima registrada el 11/04/2024;4125;8/15/2024 7:00 AM;MAXADMIN;;RESOLVED;8/16/2024 3:38 PM
1918348;10385;Vehiculo 10385 supera 80 dias sin descargar. Ultima registrada el 06/05/2024;4125;8/15/2024 7:00 AM;MAXADMIN;;CLOSED;12/15/2024 2:58 PM
1903173;4344;-;4134;7/17/2024 1:46 PM;0007440;;CLOSED;11/3/2024 4:01 PM
1903656;3768;-Luna delantera muy rajada;1799;7/18/2024 9:03 AM;0038881;;CLOSED;12/29/2024 5:15 PM
1889937;10796;los dos microfonos no funcionan;1937;6/23/2024 10:26 PM;0004875;;CLOSED;9/29/2024 6:56 PM
1890468;13057;"No cierra bien la puerta delantera.
Hay que regularla";1775;6/24/2024 6:36 PM;0053716;;CLOSED;10/6/2024 3:35 PM
1890531;13562;No habré puerta depósito adblue;1775;6/24/2024 10:34 PM;0051864;;CLOSED;11/10/2024 4:14 PM
1895629;13005;la amoriguacion funciona, pero el vibrador de cambio de carril en la parte derecha del asiento, cua;1744;7/4/2024 2:36 AM;0038693;;CLOSED;10/20/2024 3:16 PM
1907062;10385;"- Llaves; Falta juego completo, puertas maleteros, guanteras y autorizador de Adblue.";1789;7/25/2024;0032405;;CLOSED;3/16/2025 2:10 PM
1911243;3656;-Rueda pinchada;1816;8/1/2024 12:55 PM;0019757;;CLOSED;11/10/2024 11:26 PM
1911428;13057;Raja en lado del conductor;1799;8/1/2024 10:33 PM;0039032;;CLOSED;2/16/2025 2:53 PM
1911476;10415;-;4262;8/2/2024 2:59 AM;0037254;;CLOSED;11/17/2024 3:34 PM
1911725;4950;Vehiculo 4950 supera 80 dias sin descargar. Ultima registrada el 07/05/2024;4125;8/2/2024 7:00 AM;MAXADMIN;;CLOSED;8/11/2024 4:33 PM
1911811;13569;Freno descompensado;1540;8/2/2024 11:45 AM;0056038;;CLOSED;11/10/2024 2:23 PM
1905297;3593;Cámara frenada emergencia y de distancia no funciona;1538;7/21/2024 9:04 PM;0063044;;CLOSED;11/3/2024 3:50 PM
1905298;3593;No funciona  chicharra de marcha atrás;2010;7/21/2024 9:04 PM;0063044;;CLOSED;11/3/2024 3:50 PM
1917325;10794;-;1520;8/13/2024 8:45 AM;0012554;;NOPRO;8/13/2024 1:10 PM
1917420;10425;;;8/13/2024 1:01 PM;693;;CLOSED;11/24/2024 5:56 PM
1857916;10372;Última puerta lado izquierdo no abre reparar lo antes posible necesario todo el maletero del bus;1781;4/27/2024 4:36 PM;0032181;;NOPRO;4/27/2024 7:22 PM
1857937;10804;Limpias estan cogidos en la parte de arriba;;4/27/2024 7:03 PM;1795;;CLOSED;8/4/2024 6:12 PM
1918028;10380;Camara marcha atras mal;1758;8/14/2024 4:59 PM;0030619;;CLOSED;12/29/2024 4:18 PM
1918091;13559;posible fuga de refrigerante, al cogerlo el nivel estaba por debajo del mínimo.;1522;8/14/2024 11:16 PM;0017591;;CLOSED;11/24/2024 6:01 PM
PIC849389_142;13569;Revisión y comunicación de testigos de avería que detecten anomalías durante el Autochecking del ve;1608;8/15/2024;0009126;;CLOSED;11/24/2024 6:02 PM
1910745;13026;-;1818;7/31/2024 6:06 PM;0036101;;CLOSED;12/1/2024 5:58 PM
1910833;11994;-;1567;8/1/2024;0038838;;CLOSED;12/1/2024 5:55 PM
1896607;11186;REPARAR LUNA PARABRISAS (04/07/2024);;7/5/2024 1:38 PM;1383;;CLOSED;7/5/2024 2:09 PM
1871894;11308;No enciende Ocio Individual;4042;5/23/2024 11:31 PM;0051676;;CLOSED;9/22/2024 3:53 PM
1871942;10371;Detector cambio carril averiado;1636;5/24/2024 6:41 AM;0003184;;CLOSED;9/15/2024 4:16 PM
1872273;11140;Entra aire frío por donde los pedales, en el puesto de conductor;1600;5/24/2024 3:41 PM;0058242;;CLOSED;9/15/2024 4:22 PM
1872286;4045;DESPLAZAMIENTOS A AVERIAS A LUGO Y LLEVAR COCHE PARA LA CORUÑA;;5/24/2024 4:23 PM;351;;CLOSED;9/1/2024 6:41 PM
1917006;10751;SE ENCIENDE TESTIGO DE G3;1636;8/12/2024 8:11 PM;0054598;;CLOSED;11/17/2024 3:43 PM
1917007;10751;LUCES DE FRENO TRASERAS;1670;8/12/2024 8:11 PM;0054598;;CLOSED;11/17/2024 3:43 PM
1917086;4945;-;1732;8/13/2024;0008614;;RESOLVED;8/23/2024 1:04 PM
1917523;3784;Al tirar cisterna no vacía la suciedad;1740;8/13/2024 6:23 PM;0039040;;CLOSED;12/1/2024 7:55 PM
1898580;10496;Vehiculo 10496 supera 80 dias sin descargar. Ultima registrada el 11/04/2024;4125;7/9/2024 7:00 AM;MAXADMIN;;PLAN;7/9/2024 9:57 AM
1917004;11164;CAMB RUEDA PINCHADA 2 EJE;;8/12/2024 8:02 PM;458;;CLOSED;11/24/2024 5:54 PM
1916926;10823;Amortiguacion asiento conductor mal;1744;8/12/2024 4:07 PM;0011560;;CLOSED;2/2/2025 2:47 PM
1903781;3652;Huele mucho a gasoil;1526;7/18/2024 3:41 PM;0007228;;CLOSED;10/27/2024 2:15 PM
1903864;13022;No tiene toma de grifo;1738;7/18/2024 9:27 PM;0010737;;CLOSED;12/1/2024 4:45 PM
1903880;4945;"Luz pasillo pasajeros y cortesía fundidas.
Luz cortesía conductor fundidas.";1732;7/18/2024 10:25 PM;0038883;;CLOSED;11/3/2024 7:55 PM
1904360;10004;Roto amortiguador tercer maletero izquierdo;1781;7/19/2024 5:14 PM;0005870;;CLOSED;7/25/2024 12:55 PM
1904416;10438;¿atr?;1553;7/19/2024 8:14 PM;0056038;;CLOSED;11/17/2024 3:13 PM
1898154;13258;chapa.cambio de imagen.;;7/8/2024 6:38 PM;152;;CLOSED;11/3/2024 4:14 PM
1898212;10804;-;1644;7/8/2024 8:53 PM;0038881;;RESOLVED;7/9/2024 6:57 AM
1898375;11281;Nevera no funciona;1936;7/9/2024 6:43 AM;0052072;;CLOSED;1/26/2025 3:59 PM
1898810;10413;AUXILIAR VEHICULO EN ESTACION ( FALTA DE POTENCIA);;7/9/2024 5:42 PM;1442;;CLOSED;11/3/2024 2:21 PM
1900101;10661;Cerradura puerta baño exterior;1781;7/11/2024 7:37 PM;0005339;;CLOSED;10/20/2024 3:08 PM
1895404;10794;Microfono mal;1680;7/3/2024 12:38 PM;0009445;;CLOSED;10/20/2024 3:12 PM
1910072;4696;no funciona;1553;7/30/2024 2:32 PM;0030055;;CLOSED;1/5/2025 7:28 PM
1911850;13057;Rueda pinchada;1816;8/2/2024 1:15 PM;0006515;;CLOSED;11/17/2024 3:23 PM
1914418;10828;REPARAR MALETEROS;;8/7/2024 1:11 PM;279;;CLOSED;11/10/2024 4:08 PM
1914439;3783;¿pantallas?;1830;8/7/2024 2:37 PM;0066871;;CLOSED;12/1/2024 7:21 PM
1915020;10744;Sale sistema de frenos averiado;1634;8/8/2024 2:43 PM;0058245;;CLOSED;12/1/2024 7:33 PM
1910126;13061;Limpia no echa agua;1654;7/30/2024 5:09 PM;0053498;;CLOSED;12/15/2024 3:07 PM
1910559;13558;Buenos días. vibra el volante.  Él cargador de el itos no carga y la cámara lytx también no funcion;1567;7/31/2024 8:06 AM;0038812;;CLOSED;1/26/2025 4:32 PM
1910605;3705;-;4261;7/31/2024 10:53 AM;0019983;;RESOLVED;8/1/2024 7:13 AM
PIC809959_100;10393;Revisión y comunicación de testigos durante Autochecking del vehículo: testigo sensor presión infla;1608;4/28/2024 7:46 PM;0009126;;CLOSED;8/4/2024 6:16 PM
1918349;4950;Vehiculo 4950 supera 80 dias sin descargar. Ultima registrada el 07/05/2024;4125;8/15/2024 7:00 AM;MAXADMIN;;CLOSED;11/24/2024 5:36 PM
1918411;13558;-;1567;8/15/2024 1:29 PM;0012143;;CLOSED;1/26/2025 4:32 PM
1918412;13558;-;1915;8/15/2024 1:29 PM;0012143;;NEW;8/15/2024 1:29 PM
1895457;13057;Equilibrado ruedas delanteras Mal, verificar, arreglar.;1567;7/3/2024 3:29 PM;0030093;;CLOSED;10/20/2024 2:36 PM
1895458;13057;Roto arrancado se moja la gente, lleva así 20 días.Arreglar.;1738;7/3/2024 3:29 PM;0030093;;CLOSED;10/6/2024 3:49 PM
1916153;13011;Pierde;1740;8/11/2024 1:17 AM;0062258;;CLOSED;12/1/2024 7:47 PM
1916542;10414;Está roto y sale agua;1740;8/11/2024 9:38 PM;0051864;;CLOSED;8/31/2024 11:00 PM
1909430;10425;asiento 35 con vomito y mal olor;4056;7/29/2024 12:54 PM;0060227;;CLOSED;11/3/2024 6:53 PM
1909721;10385;Luces cruce mal;1662;7/30/2024 5:54 AM;0037866;;CLOSED;12/15/2024 3:05 PM
1861521;13057;Le sale un mensaje avisando de avería;1544;5/5/2024 3:08 AM;0009196;;CLOSED;8/25/2024 4:26 PM
1908138;13422;-;1953;7/27/2024 5:31 AM;0037536;;NOPRO;7/29/2024 7:08 AM
1908432;10497;Luces freno mal;1670;7/27/2024 12:21 PM;0007440;;CLOSED;11/3/2024 5:29 PM
1908538;10805;CARTEL LUMINOSO NO ENCIENDE;1668;7/27/2024 11:19 PM;0007767;;CLOSED;12/22/2024 2:38 PM
1908913;10436;¿impacto en rueda?;1820;7/28/2024 5:19 PM;0060227;;CLOSED;12/1/2024 5:56 PM
1909031;10439;TESTIGOS DE RUEDA;;7/29/2024 2:43 AM;452;;CLOSED;11/3/2024 3:51 PM
1906329;13058;maletero delantero izquierdo no queda levantado;1781;7/23/2024 5:40 PM;0008516;;CLOSED;11/3/2024 2:53 PM
1913929;13252;LAVADO CARROCERIA MENSUAL;;8/6/2024 5:34 PM;351;;CLOSED;12/1/2024 7:16 PM
1917622;11172;-;1567;8/14/2024 1:20 AM;0002770;;CLOSED;8/14/2024 12:48 PM
1917688;10813;Desgaste anormal de rueda;1818;8/14/2024 6:58 AM;0015071;;CLOSED;12/1/2024 7:55 PM
1904794;4041;bomba vaciado no funciona;1740;7/20/2024 10:51 AM;0056267;;CLOSED;11/8/2024 3:51 PM
1904795;4041;hacia dcha;1563;7/20/2024 10:51 AM;0056267;;CLOSED;7/30/2024 2:40 PM
1904836;4345;revisar ruedas;;7/20/2024 3:18 PM;0012554;;CLOSED;12/1/2024 5:00 PM
1904890;3767;Sonido individual mal;1678;7/20/2024 7:20 PM;0019608;;CLOSED;9/27/2024 9:29 AM
1910915;13063;No se calienta pero le falta líquido refrigerante, lo pide constantemente;1510;8/1/2024 6:18 AM;0039032;;CLOSED;11/17/2024 3:30 PM
1910916;4332;Regular/ajustar espejo;2026;8/1/2024 6:27 AM;0031894;;CLOSED;12/1/2024 6:32 PM
1911436;13024;bomba averiada .falta una toma de las mangueras del agua;1738;8/1/2024 10:39 PM;0030941;;CLOSED;12/1/2024 6:43 PM
1868118;10369;tratamiento posterior gases escape averiado;4337;5/17/2024 11:09 AM;0053498;;CLOSED;8/25/2024 4:45 PM
1886621;11162;;;6/17/2024 10:49 AM;229;171;CLOSED;7/26/2024 4:30 PM
1918475;3891;El maletero izquierdo primero no habre lleva un par de semanas asi;1781;8/15/2024 7:56 PM;0031238;;CLOSED;12/1/2024 8:03 PM
1918491;13059;Ruedas del tiro tienen una presión inusual están muy desparejas, 7'8 - 7'6 lado izd,, 7'6 - 7'7 en;1816;8/15/2024 9:51 PM;0039032;;CLOSED;12/29/2024 3:24 PM
1911849;10812;No enfría así lleva tiempo y la comida se estropea por favor la bebida no fría;1936;8/2/2024 1:14 PM;0001620;;CLOSED;12/29/2024 4:20 PM
1908938;10659;Se vá a la derecha;1563;7/28/2024 7:28 PM;0056437;;CLOSED;11/3/2024 3:47 PM
1862946;13026;butaca suelta;;5/7/2024 7:04 PM;1857;251;CLOSED;8/25/2024 4:30 PM
1864656;13026;tornillo tapas maleteros sueltos;;5/10/2024 5:04 PM;418;251;CLOSED;8/25/2024 4:37 PM
1912408;10385;no lee los billetes el detector del itos la luz va pero no lee nada;1684;8/3/2024 10:53 PM;0037885;;RESOLVED;8/4/2024 8:50 AM
1912427;13012;Revisar desgaste neumáticos y realizar paralelos;1563;8/3/2024 11:49 PM;0014983;;CLOSED;11/17/2024 3:26 PM
1902692;3842;Falta anticongelante Pza de Armas - Sevilla;;7/16/2024 6:52 PM;1096;;CLOSED;11/3/2024 5:03 PM
1908833;4950;Vehiculo 4950 supera 80 dias sin descargar. Ultima registrada el 07/05/2024;4125;7/28/2024 7:00 AM;MAXADMIN;;CLOSED;8/11/2024 4:33 PM
1909313;10646;error gps;1692;7/29/2024 7:28 AM;0052075;;CLOSED;12/15/2024 3:01 PM
1917967;4339;REPARAR BAJANTE SURTIDORES GASOIL GOLPEADO -LUNA TRASERA ROTA;;8/14/2024 1:05 PM;307;;CLOSED;8/20/2024 11:12 AM
1918807;10370;Vehiculo 10370 supera 80 dias sin descargar. Ultima registrada el 27/05/2024;4125;8/16/2024 7:00 AM;MAXADMIN;;CLOSED;11/24/2024 6:03 PM
1918848;3767;Los dos micrófonos no funcionan;1680;8/16/2024 9:18 AM;0001036;;CLOSED;9/27/2024 9:29 AM
1918849;3770;Se enciende chivato de falta de anticongelante;1510;8/16/2024 9:26 AM;0001036;;CLOSED;9/27/2024 9:12 AM
1918850;3770;Fundida izquierda;1662;8/16/2024 9:26 AM;0001036;;CLOSED;12/1/2024 8:04 PM
1918851;3770;Salta fusible de carga de baterías para móviles: problema para cargar AITOS;1678;8/16/2024 9:26 AM;0001036;;CLOSED;9/27/2024 9:12 AM
1918852;3770;Imagen invertida: lo que está a la derecha aparece a la izda en cámara y viceversa;1758;8/16/2024 9:26 AM;0001036;;CLOSED;9/27/2024 9:12 AM
1864678;4933;AA no enfria;1590;5/10/2024 5:56 PM;0019664;;CLOSED;8/25/2024 4:37 PM
1905145;10638;Vehiculo 10638 supera 80 dias sin descargar. Ultima registrada el 11/04/2024;4125;7/21/2024 7:00 AM;MAXADMIN;;RESOLVED;7/21/2024 9:39 PM
1905155;3063;Vehiculo 3063 supera 80 dias sin descargar. Ultima registrada el 25/04/2024;4125;7/21/2024 7:00 AM;MAXADMIN;;RESOLVED;7/22/2024 2:35 PM
1868363;10820;calefaccion calienta poco;1598;5/17/2024 6:47 PM;0014774;;CLOSED;9/1/2024 6:24 PM
1873856;11167;desague wc mal;1740;5/27/2024 11:46 AM;0037646;;CLOSED;9/15/2024 4:22 PM
